,Mkt-RF,SMB,HML,RMW,CMA,RF
20220511,-1.95,-0.59,2.59,0.7,0.95,0.001
20220512,0.17,1.2,-1.23,-0.37,-1.09,0.001
20220513,2.76,0.4,-2.2,-2.16,-0.68,0.001
20220516,-0.6,0.09,1.35,0.19,1.32,0.001
20220517,2.14,0.94,-0.05,-0.7,-0.32,0.001
20220518,-4.04,0.47,1.53,-0.54,0.35,0.001
20220519,-0.34,0.41,-0.8,-1.21,-0.86,0.001
20220520,-0.05,-0.14,-0.19,-0.1,0.16,0.001
20220523,1.74,-0.91,1.29,-0.03,1.02,0.001
20220524,-1.23,-0.48,1.85,1.43,1.13,0.001
20220525,1.22,0.74,0.21,-0.54,0,0.001
20220526,2.18,0.02,-0.62,-0.16,-0.31,0.001
20220527,2.58,0.04,-1.3,-0.66,-0.26,0.001
20220531,-0.71,-0.39,0.45,0.82,-0.25,0.001
20220601,-0.75,0.22,0.79,-0.19,1.08,0.003
20220602,2.09,0.41,-2.07,-0.45,-1.48,0.003
20220603,-1.63,1.02,0.53,-0.8,0.45,0.003
20220606,0.33,0.06,0.65,0.47,0.18,0.003
20220607,0.99,0.19,-0.14,-1.58,0.66,0.003
20220608,-1.02,-0.26,-0.53,-0.69,-0.22,0.003
20220609,-2.44,0.44,0.26,0.86,0.15,0.003
20220610,-3,0.27,0.62,0.31,0.48,0.003
20220613,-4.13,-0.48,0.62,1.72,-0.37,0.003
20220614,-0.25,0.12,0.12,0.11,0.04,0.003
20220615,1.55,-0.02,-1.65,-0.2,-1.13,0.003
20220616,-3.52,-1.1,0.03,0.62,-0.64,0.003
20220617,0.47,0.73,-2.62,0.37,-2.01,0.003
20220621,2.38,-0.82,0.24,-0.92,0,0.003
20220622,-0.18,0.03,-1.77,0.62,-1.6,0.003
20220623,1.13,0.3,-3.85,0.5,-1.87,0.003
20220624,3.11,-0.41,-0.04,0.11,-0.33,0.003
20220627,-0.28,0.77,1.24,-0.3,1.29,0.003
20220628,-2.1,0.04,2.36,-0.68,1.29,0.003
20220629,-0.2,-0.59,-1.3,1.09,-0.85,0.003
20220630,-0.96,0.51,-0.15,0.89,-0.16,0.003
20220701,1.15,-0.01,0.11,-0.74,-0.1,0.004
20220705,0.49,1.1,-3.35,-1.69,-2.12,0.004
20220706,0.17,-0.89,-0.73,0.06,-0.3,0.004
20220707,1.77,0.87,-0.98,-0.8,-1.33,0.004
20220708,-0.07,0.07,-0.07,-0.26,-0.22,0.004
20220711,-1.39,-0.97,1.59,1.69,1.23,0.004
20220712,-0.88,0.87,0.51,0.07,0.81,0.004
20220713,-0.39,0.43,-0.4,0.03,-0.33,0.004
20220714,-0.41,-0.47,-1.01,0.8,-0.02,0.004
20220715,1.95,0.05,0.47,-0.21,-0.39,0.004
20220718,-0.71,0.36,1.02,0.12,-0.1,0.004
20220719,2.8,0.85,-0.56,-0.3,-0.61,0.004
20220720,0.89,1.09,-1.31,-1.5,-1.49,0.004
20220721,0.97,-0.33,-1.63,-0.27,-0.89,0.004
20220722,-1.19,-0.82,1.37,1.71,1.51,0.004
20220725,0.11,0.1,1.69,0.64,0.51,0.004
20220726,-1.32,0.34,1.06,0.57,1.18,0.004
20220727,2.72,0.15,-1.27,-0.21,-1.34,0.004
20220728,1.19,-0.03,-0.86,0.15,-0.86,0.004
20220729,1.44,-0.88,0.45,0.48,-1.18,0.004
20220801,-0.19,0.18,-0.26,0.17,0.35,0.008
20220802,-0.49,0.55,-1.4,-2.16,-0.45,0.008
20220803,1.67,0.28,-1.92,-1.47,-0.68,0.008
20220804,-0.06,0.39,-1.65,-1.29,-0.84,0.008
20220805,-0.05,0.95,-0.06,-1.29,-0.24,0.008
20220808,0,0.96,-0.08,-0.45,0.22,0.008
20220809,-0.68,-1.37,2.12,0.89,1.28,0.008
20220810,2.36,0.76,-1.6,-1.37,-1.37,0.008
20220811,-0.07,0.22,1.66,0.73,0.85,0.008
20220812,1.76,0.49,-0.75,-0.65,-0.54,0.008
20220815,0.38,-0.01,-0.63,-0.19,-0.01,0.008
20220816,0.19,-0.14,0.72,1.04,0.53,0.008
20220817,-0.93,-0.92,1.04,1.26,0.66,0.008
20220818,0.27,0.35,0.46,0.77,0.08,0.008
20220819,-1.5,-0.94,0.96,1.06,1.25,0.008
20220822,-2.14,-0.05,0.36,0.19,0.2,0.008
20220823,-0.11,0.12,0.33,-0.38,-0.2,0.008
20220824,0.4,0.52,-0.62,-1.45,-0.49,0.008
20220825,1.45,0.14,-0.01,0.12,-0.41,0.008
20220826,-3.38,-0.28,1.69,0.23,0.87,0.008
20220829,-0.72,-0.39,0.42,0.23,0.42,0.008
20220830,-1.11,-0.38,-0.24,-0.25,0.12,0.008
20220831,-0.74,0.22,-0.44,-0.63,-0.12,0.008
20220901,-0.01,-1.05,-0.3,0.64,0.56,0.009
20220902,-0.99,0.11,1.07,-0.08,0.24,0.009
20220906,-0.51,-0.56,-0.53,-0.15,-0.66,0.009
20220907,1.92,0.42,-1.53,-1.3,-0.53,0.009
20220908,0.78,-0.14,-0.19,-1.31,-1.05,0.009
20220909,1.67,0.38,-0.52,-0.1,-0.49,0.009
20220912,1.07,0.27,-0.16,-0.16,-0.16,0.009
20220913,-4.29,0.05,1.44,-0.32,0.92,0.009
20220914,0.44,-0.19,-0.29,-0.76,-0.44,0.009
20220915,-1.03,0.42,0.55,-0.37,0.2,0.009
20220916,-0.98,-0.74,0.84,1.67,0.93,0.009
20220919,0.72,-0.06,0.67,0.6,-0.08,0.009
20220920,-1.16,-0.3,0.05,-0.12,0.34,0.009
20220921,-1.68,0.35,0.08,0.37,0.11,0.009
20220922,-1.14,-1.15,0.41,1.15,0.9,0.009
20220923,-1.85,-0.48,-0.81,0.2,-0.23,0.009
20220926,-1.02,-0.05,-0.74,0.17,-0.41,0.009
20220927,-0.05,0.57,-0.94,-0.61,-0.88,0.009
20220928,2.15,0.9,-0.33,-0.84,-0.72,0.009
20220929,-2.17,-0.28,0.87,0.43,0.5,0.009
20220930,-1.42,0.59,0.27,-0.67,-0.1,0.009
20221003,2.55,0.01,0.69,0.88,0.34,0.011
20221004,3.3,0.72,-0.05,-1.03,-0.31,0.011
20221005,-0.22,-0.38,0.08,0.31,0.15,0.011
20221006,-0.86,0.46,0.12,-0.09,-0.48,0.011
20221007,-2.91,-0.22,1.67,0.95,1.45,0.011
20221010,-0.81,0.24,0.77,1.54,0.39,0.011
20221011,-0.7,0.61,0.33,0.58,0.65,0.011
20221012,-0.27,0.03,0,-0.02,0.01,0.011
20221013,2.4,-0.27,1.58,0.56,0.94,0.011
20221014,-2.46,-0.2,1.21,0.53,1.56,0.011
20221017,2.74,0.37,-1.42,-1.01,-1.16,0.011
20221018,1.19,-0.13,0,-0.43,0.05,0.011
20221019,-0.87,-1.18,1.21,0.64,0.75,0.011
20221020,-0.8,-0.35,-0.44,-0.6,0.15,0.011
20221021,2.3,-0.06,0.11,0.61,-0.23,0.011
20221024,1.03,-0.62,0.46,1.17,0.47,0.011
20221025,1.78,1.02,-1.51,-1.17,-1.22,0.011
20221026,-0.66,0.69,0.89,-0.8,0.67,0.011
20221027,-0.54,0.43,1.06,-0.38,0.51,0.011
20221028,2.33,0.06,-0.33,0.38,0.6,0.011
20221031,-0.67,0.46,0.74,-0.21,0.48,0.011
20221101,-0.35,0.44,0.78,-0.03,0.41,0.014
20221102,-2.67,-0.87,1.6,0.21,1.05,0.014
20221103,-1.03,0.39,0.31,-0.17,0.07,0.014
20221104,1.16,-0.26,1.29,2.2,0.61,0.014
20221107,0.87,-0.34,0.6,1.06,0.93,0.014
20221108,0.5,-0.54,-0.38,-0.21,0.07,0.014
20221109,-2.25,-0.5,0.55,0.94,1.06,0.014
20221110,5.68,1.05,-3.1,-0.71,-2.79,0.014
20221111,1.07,0.17,-1.08,-0.88,-1.12,0.014
20221114,-0.95,-0.26,0.25,0.54,0.43,0.014
20221115,1.03,0.47,-0.7,-0.5,-0.52,0.014
20221116,-1.03,-1.07,0.57,1.16,0.91,0.014
20221117,-0.42,-0.28,0.58,1.34,0.75,0.014
20221118,0.4,-0.09,0.08,0.4,0.62,0.014
20221121,-0.53,-0.2,0.99,0.47,1.08,0.014
20221122,1.35,-0.38,0.45,0.7,-0.24,0.014
20221123,0.63,-0.25,-0.94,-0.73,-0.56,0.014
20221125,-0.02,0.27,0.43,-0.17,0.14,0.014
20221128,-1.55,-0.47,-0.21,0.31,0.32,0.014
20221129,-0.18,0.35,1.03,0.19,0.47,0.014
20221130,3.12,-0.14,-2.07,-0.78,-1.42,0.014
20221201,-0.02,0.04,-0.69,-0.32,-0.3,0.016
20221202,-0.08,0.82,-0.56,-0.39,0.32,0.016
20221205,-2.02,-0.55,-0.53,0.85,0.99,0.016
20221206,-1.51,-0.02,1.16,0.82,0.7,0.016
20221207,-0.24,-0.17,-0.33,0.09,-0.22,0.016
20221208,0.77,-0.09,-1.2,-0.56,-0.62,0.016
20221209,-0.8,-0.52,0.35,0.22,0.12,0.016
20221212,1.41,-0.27,-0.15,-0.28,-0.15,0.016
20221213,0.66,0.07,-0.75,-0.27,-0.58,0.016
20221214,-0.56,0.04,-0.44,-0.16,-0.08,0.016
20221215,-2.57,-0.11,1.37,0.25,0.36,0.016
20221216,-1.02,0.52,0.18,-0.04,0.43,0.016
20221219,-1.01,-0.59,1.24,0.62,1.15,0.016
20221220,0.13,0.24,0.24,-0.53,0.45,0.016
20221221,1.52,0.14,-0.14,0.36,-0.28,0.016
20221222,-1.52,0.22,0.37,-0.05,0.88,0.016
20221223,0.51,-0.34,1.15,0.86,0.46,0.016
20221227,-0.51,-0.42,1.43,1.13,1.19,0.016
20221228,-1.23,-0.3,-0.29,-0.96,-0.03,0.016
20221229,1.87,1.03,-1.07,-1.01,-0.82,0.016
